product_position,promotion,seasonal,sales_volume,name,price,terms,section,season,material,origin,price_range,revenue
Aisle,Yes,Yes,1243,Basic Puffer Jacket,78.99,Jackets,Man,Winter,Polyester,Brazil,Premium,98184.56999999999
Aisle,Yes,No,1429,Tuxedo Jacket,14.99,Jackets,Man,Autumn,Cotton,Turkey,Low,21420.71
End-cap,Yes,Yes,1168,Slim Fit Suit Jacket,71.95,Jackets,Woman,Autumn,Polyester,Morocco,High,84037.6
Aisle,Yes,No,1348,Stretch Suit Jacket,30.99,Jackets,Man,Spring,Polyester,China,Medium,41774.52
End-cap,Yes,Yes,1602,Double Faced Jacket,22.99,Jackets,Woman,Winter,Wool Blend,China,Low,36829.979999999996
End-cap,Yes,Yes,1282,Contrasting Collar Jacket,25.95,Jackets,Woman,Autumn,Cotton,Turkey,Medium,33267.9
Front of Store,No,No,688,Faux Leather Puffer Jacket,87.99,Jackets,Man,Winter,Acrylic,China,Premium,60537.119999999995
Aisle,Yes,Yes,1711,Suit Jacket In 100% Linen,24.0,Jackets,Woman,Summer,Cotton,Portugal,Low,41064.0
Aisle,No,Yes,857,100% Wool Suit Jacket,32.95,Jackets,Woman,Winter,Wool,India,Medium,28238.15
Aisle,No,No,769,100% Feather Fill Puffer Jacket,39.95,Jackets,Man,Autumn,Wool Blend,China,Medium,30721.550000000003
Aisle,Yes,Yes,1696,Herringbone Textured Jacket,22.99,Jackets,Woman,Winter,Wool,China,Low,38991.04
Aisle,Yes,No,1538,Oversized Cropped Jacket Limited Edition,15.95,Jackets,Woman,Autumn,Polyester,Portugal,Low,24531.1
Aisle,No,Yes,822,Leather Biker Jacket,49.99,Jackets,Man,Autumn,Cotton,Portugal,Medium,41091.78
Front of Store,No,No,840,Cropped Leather Jacket,69.99,Jackets,Woman,Autumn,Viscose,Bangladesh,High,58791.6
Aisle,Yes,Yes,1569,Faux Leather Boxy Fit Jacket,28.99,Jackets,Woman,Spring,Polyester,China,Medium,45485.31
End-cap,No,Yes,952,Faux Leather Jacket,29.99,Jackets,Woman,Spring,Wool Blend,India,Medium,28550.48
Aisle,No,Yes,915,Faux Suede Bomber Jacket,29.99,Jackets,Woman,Autumn,Cotton,Portugal,Medium,27440.85
Front of Store,Yes,Yes,1522,Denim Bomber Jacket,25.99,Jackets,Woman,Autumn,Cotton,India,Medium,39556.78
Aisle,Yes,Yes,1305,Bouclé Textured Jacket,77.99,Jackets,Man,Winter,Polyester,Morocco,Premium,101776.95
End-cap,No,No,840,Suit Jacket In 100% Linen,49.99,Jackets,Woman,Spring,Linen,Bangladesh,Medium,41991.6
End-cap,No,No,997,Jacquard Denim Jacket,25.95,Jackets,Woman,Spring,Denim,China,Medium,25872.149999999998
Front of Store,No,Yes,857,Padded Denim Jacket,79.99,Jackets,Woman,Autumn,Denim,Bangladesh,Premium,68551.43
Aisle,No,No,982,Leather Jacket,39.99,Jackets,Woman,Spring,Wool Blend,Vietnam,Medium,39270.18
End-cap,No,Yes,970,Lightweight Bomber Jacket,19.95,Jackets,Man,Autumn,Wool Blend,Spain,Low,19351.5
Front of Store,Yes,No,1453,Suit Jacket,39.99,Jackets,Woman,Autumn,Polyester,Brazil,Medium,58105.47
Front of Store,No,No,870,Faux Leather Bomber Jacket,22.99,Jackets,Man,Autumn,Polyester,India,Low,20001.3
End-cap,Yes,No,1533,Patch Bomber Jacket,21.99,Jackets,Woman,Autumn,Cotton,Cambodia,Low,33710.67
Front of Store,No,Yes,807,Stretch Pocket Overshirt,49.99,Jackets,Woman,Spring,Cotton,India,Medium,40341.93
Front of Store,Yes,Yes,1604,Rib Collar Jacket,24.95,Jackets,Woman,Autumn,Wool Blend,Bangladesh,Low,40019.799999999996
Front of Store,Yes,Yes,1255,Faux Leather Oversized Jacket Limited Edition,21.99,Jackets,Man,Autumn,Viscose,China,Low,27597.449999999997
Front of Store,Yes,Yes,1268,Contrasting Patches Bomber Jacket,22.99,Jackets,Man,Autumn,Cotton,China,Low,29151.32
Aisle,No,Yes,1047,Patch Bomber Jacket,24.0,Jackets,Woman,Winter,Viscose,Bangladesh,Low,25128.0
End-cap,No,Yes,744,Cropped Bomber Jacket Limited Edition,49.99,Jackets,Man,Autumn,Polyester,Spain,Medium,37192.560000000005
End-cap,Yes,Yes,1744,Faux Leather Puffer Jacket,32.99,Jackets,Woman,Winter,Wool,Turkey,Medium,57534.560000000005
Aisle,Yes,Yes,1447,Faux Leather Bomber Jacket,31.99,Jackets,Woman,Autumn,Viscose,India,Medium,46289.53
End-cap,No,No,911,Bomber Jacket,39.99,Jackets,Woman,Spring,Polyester,Vietnam,Medium,36430.89
End-cap,Yes,No,1575,Faux Suede Jacket,16.99,Jackets,Woman,Autumn,Viscose,Cambodia,Low,26759.249999999996
Aisle,Yes,No,1440,Faux Suede Bomber Jacket,16.99,Jackets,Woman,Spring,Viscose,Spain,Low,24465.6
Aisle,No,Yes,942,Suede Jacket,39.99,Jackets,Woman,Spring,Polyester,Vietnam,Medium,37670.58
End-cap,No,No,972,Contrasting Collar Jacket,21.99,Jackets,Woman,Winter,Viscose,Bangladesh,Low,21374.28
Front of Store,No,Yes,860,Textured Jacket,45.99,Jackets,Woman,Spring,Cotton,Bangladesh,Medium,39551.4
Aisle,No,No,709,Cropped Textured Jacket,45.99,Jackets,Man,Spring,Cotton,China,Medium,32606.91
Aisle,No,Yes,663,Pocket Puffer Jacket,99.99,Jackets,Woman,Autumn,Wool,Spain,Premium,66293.37
End-cap,No,No,876,Technical Jacket With Pockets,22.99,Jackets,Man,Spring,Wool Blend,Argentina,Low,20139.239999999998
End-cap,Yes,Yes,1284,Faux Leather Jacket,19.99,Jackets,Woman,Spring,Polyester,Turkey,Low,25667.159999999996
Aisle,No,No,871,Faux Suede Jacket,22.99,Jackets,Man,Autumn,Polyester,Argentina,Low,20024.289999999997
